[09.12.2023 13:31:42] (info) | Chris | Guess 1: shoots (3, 2) misses.
[09.12.2023 13:31:57] (info) | Chris | Guess 2: shoots (8, 2) misses.
[09.12.2023 13:32:03] (info) | Chris | Guess 3: shoots (9, 5) misses.
[09.12.2023 13:32:06] (info) | Chris | Guess 4: shoots (4, 7) misses.
[09.12.2023 13:32:13] (info) | Chris | Guess 5: shoots (0, 4) misses.
[09.12.2023 13:32:38] (info) | Chris | Guess 6: shoots (0, 0) misses.
[09.12.2023 13:32:42] (info) | Chris | Guess 7: shoots (1, 0) misses.
[09.12.2023 13:32:51] (info) | Chris | Guess 8: shoots (6, 6) misses.
[09.12.2023 13:32:58] (info) | Chris | Guess 9: shoots (0, 8) misses.
[09.12.2023 13:33:01] (info) | Chris | Guess 10: shoots (0, 7) misses.
[09.12.2023 13:33:01] (info) | Chris | Ship was at (4, 9) - nice try ;)
[09.12.2023 13:34:07] (info) | Jann | Guess 1: shoots (2, 0) misses.
[09.12.2023 13:34:34] (info) | Jann | Guess 2: shoots (5, 1) misses.
[09.12.2023 13:34:37] (info) | Jann | Guess 3: shoots (7, 2) misses.
[09.12.2023 13:34:40] (info) | Jann | Guess 4: shoots (5, 3) misses.
[09.12.2023 13:34:44] (info) | Jann | Guess 5: shoots (8, 4) misses.
[09.12.2023 13:34:48] (info) | Jann | Guess 6: shoots (2, 5) misses.
[09.12.2023 13:34:52] (info) | Jann | Guess 7: shoots (7, 6) misses.
[09.12.2023 13:34:57] (info) | Jann | Guess 8: shoots (4, 7) misses.
[09.12.2023 13:34:59] (info) | Jann | Guess 9: shoots (9, 8) misses.
[09.12.2023 13:35:03] (info) | Jann | Guess 10: shoots (3, 9) misses.
[09.12.2023 13:35:03] (info) | Jann | Ship was at (7, 7) - nice try ;)
[09.12.2023 13:36:12] (info) | Nele | Guess 1: shoots (9, 5) misses.
[09.12.2023 13:36:24] (info) | Nele | Guess 2: shoots (6, 3) misses.
[09.12.2023 13:36:33] (info) | Nele | Guess 3: shoots (2, 1) misses.
[09.12.2023 13:36:39] (info) | Nele | Guess 4: shoots (7, 7) misses.
[09.12.2023 13:36:48] (info) | Nele | Guess 5: shoots (0, 0) misses.
[09.12.2023 13:36:52] (info) | Nele | Guess 6: shoots (9, 9) misses.
[09.12.2023 13:36:59] (info) | Nele | Guess 7: shoots (0, 8) misses.
[09.12.2023 13:37:08] (warning) | Guess 8: shoots at already shot spot: (7, 7)
[09.12.2023 13:37:23] (info) | Nele | Guess 8: shoots (7, 9) misses.
[09.12.2023 13:37:27] (info) | Nele | Guess 9: shoots (0, 9) misses.
[09.12.2023 13:37:31] (info) | Nele | Guess 10: shoots (3, 3) misses.
[09.12.2023 13:37:31] (info) | Nele | Ship was at (4, 9) - nice try ;)
