google_places_id,osm_id
ChIJ64Xn8hKZmkcRE4GfW09-KGs,92397151
ChIJ64Xn8hKZmkcRE4GfW09-KGs,92254989
ChIJL6_n-3eZmkcROeHH8Dhz7N0,92814681
ChIJi8uvqCGZmkcRvKqEDj9lWMY,92225908
ChIJSaKKRp2ZmkcRkLskRpSwbMM,92649335
ChIJTcmVH4aZmkcRNdLOc9tAY-Y,92228935
ChIJL_A4P52ZmkcRrWxQXRtsX4Q,93825852
ChIJWR38X52ZmkcRjEiCKziGqO4,92673635
ChIJvX0Fw3mZmkcR_pZBonpBKZ4,93479409
ChIJ_fRxQJCZmkcR95ZKnRwRZpU,92789677
ChIJq0SJq02ZmkcR9TM8xFXlJbA,93052468
ChIJ0dPgdHeZmkcR8nNMrUZQtEQ,92701317
ChIJ0dPgdHeZmkcR8nNMrUZQtEQ,92717984
ChIJCXdyxH2ZmkcRXVOq0aRr1L0,94350507
ChIJQe4m21qZmkcRFj6WJ9zDVm0,92729879
ChIJtXm38HmZmkcRAd28qufRZ9g,92668739
ChIJKeBtzq-ZmkcRzBeb8B4o3hE,92688160
ChIJTezSRYOZmkcRdETi0qimgFc,93462075
ChIJASmge52ZmkcRg4Cm_K5wsEc,93879070
ChIJ8wxaEnuZmkcRL80fEe7xbsk,92255649
ChIJM6jkcN6ZmkcR80Y9NMiAeSI,92670607
ChIJNdXr14OZmkcRYWAWLZrKxBI,92650993
ChIJNdXr14OZmkcRYWAWLZrKxBI,92616010
ChIJeUG5k2-ZmkcRgcd_XiIExUs,92676037
ChIJRZJF13yZmkcRwiFGSFpbPXw,92262868
ChIJPV8chWSZmkcRJZhUILSYJTQ,92167750
ChIJqc6yKnaZmkcRPbFfuDuHV54,92965789
ChIJGYcHjHyZmkcRnufIcNGtThg,92729953
ChIJw4w20XeZmkcRMvqgXRrC_QU,92788177
ChIJZaCTknqZmkcRFBB5nyrzvns,92537265
ChIJhdgyxHeZmkcRPi58uuDQFLM,93120235
ChIJ-zChSamZmkcRMzXSEDnUgII,93237460
ChIJDb5C3L-ZmkcRI3AcMYWF6IE,93121995
ChIJw1cu0XuZmkcRxQCro2tQ4O4,92223372
ChIJ79fEFcGZmkcRYONrwZAO_ws,92729953
ChIJS8gu2GCZmkcRRovjdDcfuRM,92237011
ChIJby3Ci3eZmkcR4urYW6dv2ag,92300093
ChIJc13o_MyZmkcR146SC0hYY1g,93361972
ChIJc13o_MyZmkcR146SC0hYY1g,93908378
ChIJc13o_MyZmkcR146SC0hYY1g,92849114
ChIJ5ZbUAGGZmkcRYYKj0r1As-8,93361972
ChIJ5ZbUAGGZmkcRYYKj0r1As-8,93908378
ChIJ5ZbUAGGZmkcRYYKj0r1As-8,92849114
ChIJF1aDFheZmkcROp9QS8sxqBU,92753928
ChIJ3W6X13CZmkcRNjw2_AdnJZI,92729953
ChIJCcqnkqKZmkcR2bVZHX764s4,92226489
ChIJqztLM-eZmkcRSLawzGDKq30,92663634
ChIJcy2DZzOZmkcRE4RXJHUpmfg,93880860
ChIJ_yeTNpeZmkcRsI_Lm4v1pHE,92638387
ChIJ4yVuja2ZmkcRhRJeIKW1cAU,93140156
ChIJSdcMvseZmkcRPn024JQ7vBc,92771616
ChIJoab9SZ2ZmkcR852C0_-5EvU,92304266
ChIJm3lpnHiZmkcRqGPLT9eNRT0,92232131
ChIJhb1lHG2ZmkcRAKznCbeskEg,92947691
ChIJTcS0yXeZmkcRAG-Bffj63hg,92718467
